"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
1.46418025485637,9.39912643545513,155.801215198632,9.18407185674467e-13,2.85222831601027e-11,"Jheh3","Control","Fat Body"
3.08854000990966,6.7269347205122,155.275597826551,9.5522093850559e-13,2.94813220089085e-11,"CG8051","Control","Fat Body"
1.48767193083485,6.23948469743316,153.617812683999,1.08209121227892e-12,3.31908100852714e-11,"Gk1","Control","Fat Body"
-1.82013796360267,5.07043643135732,153.492846926992,1.09236245463338e-12,3.33003008409403e-11,"CG8111","Control","Fat Body"
3.51844403912837,6.13702109405262,153.650857858789,1.12021671494788e-12,3.39412003449758e-11,"CG3397.Dsim_GD20614","Control","Fat Body"
2.5243306149992,5.48859440394669,151.773655169298,1.24481113680471e-12,3.74876759926218e-11,"CG3625","Control","Fat Body"
4.13628697454047,3.02125390734073,151.545926946309,1.26666008801273e-12,3.79158673333449e-11,"CG32547","Control","Fat Body"
1.58923404961234,9.80154090201341,151.349271772654,1.285859237052e-12,3.82600871192299e-11,"Cyp4ac1.Cyp4ac2.Cyp4ac3.Dsim_GD23331","Control","Fat Body"
1.64962606388389,3.78179935746065,150.58826327879,1.36315230532039e-12,4.03184750305775e-11,"Cdc5","Control","Fat Body"
-2.56154651925048,9.01611520040706,149.90466308995,1.43684544390146e-12,4.22466568683216e-11,"CG3999","Control","Fat Body"
4.96915076076705,4.93940786130519,153.794583228236,1.49284032119559e-12,4.36348444471818e-11,"CG14615","Control","Fat Body"
-2.666817960608,8.95503605856239,149.305489002774,1.50496015772638e-12,4.37318539400139e-11,"Spn88Eb","Control","Fat Body"
-1.20315509949551,5.20129939684249,149.207565059388,1.51641809399035e-12,4.38086134246398e-11,"NC2alpha","Control","Fat Body"
-2.15149543564136,9.41379822377649,148.278843694323,1.62986293292199e-12,4.67362673058644e-11,"RpS9","Control","Fat Body"
-1.78998650420474,5.30167110842336,148.226136151793,1.63656882898378e-12,4.67362673058644e-11,"Snap29","Control","Fat Body"
2.12979846858245,3.39929745527307,147.628957481045,1.71465086928346e-12,4.86862866826829e-11,"CG15525","Control","Fat Body"
-2.6102155502674,3.57238392821434,146.367819722148,1.89300585785283e-12,5.3445148339038e-11,"CG2656","Control","Fat Body"
-1.46654455134452,4.85292131806665,145.387177915207,2.04544427105418e-12,5.74226699597076e-11,"CycY","Control","Fat Body"
6.26031255938531,8.44285143431814,151.48188917363,2.10860603391761e-12,5.88632774299808e-11,"CG11459.Dsim_GD19566","Control","Fat Body"
5.86509106385704,8.78352455080458,150.464682359191,2.2355835299418e-12,6.20592992194459e-11,"GstD2","Control","Fat Body"
-1.67443503052581,5.13906713886075,144.023830789951,2.27966684830689e-12,6.29314698290942e-11,"CG14130","Control","Fat Body"
-1.59820949260162,4.60694610159777,140.960234538737,2.91787781801627e-12,8.01046125841042e-11,"CG42564","Control","Fat Body"
-1.00399434251922,6.41161638481758,140.604512364361,3.00359389022355e-12,8.20047145083562e-11,"CycK","Control","Fat Body"
3.25768454834553,2.22616343965217,139.763153425214,3.21728038797136e-12,8.73588319553534e-11,"CG12818","Control","Fat Body"
6.46708791063022,1.71636159231376,171.140379781307,3.49173021348878e-12,9.42956925588357e-11,"CG1773.CG30002.Dsim_GD10675","Control","Fat Body"
-4.83067122811102,6.43776553076926,143.291505406872,3.60212492571029e-12,9.6751128410024e-11,"CG8112","Control","Fat Body"
-3.49711355775238,3.12968452262339,137.431553033757,3.89944544795696e-12,1.04173894789775e-10,"CG11263","Control","Fat Body"
1.40986239235782,4.04308291338055,137.112856736241,4.00415180177256e-12,1.06051360105097e-10,"CG11110","Control","Fat Body"
-1.3979146002125,4.36582833931983,137.088108625311,4.01240806998554e-12,1.06051360105097e-10,"Upf3","Control","Fat Body"
4.30473703076276,4.56435018136032,138.733588415256,4.36477973177112e-12,1.14754447022067e-10,"CG33521","Control","Fat Body"
3.41753325365022,6.87088155191911,136.837936022489,4.50797229297154e-12,1.17895338546187e-10,"CG9616","Control","Fat Body"
8.32844997452992,1.32236136930146,163.769886021326,5.47761368122553e-12,1.42503991528846e-10,"CG33993","Control","Fat Body"
5.28591184339308,3.09397342381828,133.393394459273,5.51781738442954e-12,1.42802263454325e-10,"CG34034","Control","Fat Body"
-2.21843778574855,10.0473608155915,133.22873195723,5.55389780175045e-12,1.42991285890663e-10,"Msr-110","Control","Fat Body"
2.42734416252315,4.14855777008535,131.340491574163,6.53026318523303e-12,1.67262256533108e-10,"Tsp2A","Control","Fat Body"
2.29054531678412,4.08160500876882,130.782853504245,6.85272215819478e-12,1.74621417456768e-10,"CG12560","Control","Fat Body"
-1.56335196928983,7.07078921120945,130.223861713802,7.19318622533584e-12,1.82361950784152e-10,"loj","Control","Fat Body"
-1.3957947746509,5.73802544489004,129.844014360929,7.4348786933261e-12,1.87532549376332e-10,"r2d2","Control","Fat Body"
-2.49711375732487,2.64131482778734,129.371630742922,7.74768391176441e-12,1.94435562411906e-10,"CG14667","Control","Fat Body"
1.25616025670756,9.06939740228352,129.054004481894,7.96593934524571e-12,1.98908304555407e-10,"Arc42","Control","Fat Body"
1.70281565934301,4.90556291753332,128.035701325793,8.71133929770424e-12,2.16433224851462e-10,"CG8891","Control","Fat Body"
1.09221679640208,4.3969464157672,127.344573026392,9.25972254774848e-12,2.28660766811609e-10,"Sec5","Control","Fat Body"
4.44728282164656,1.98255248085177,127.300986974422,9.29552724812739e-12,2.28660766811609e-10,"tacc","Control","Fat Body"
-2.25194646264214,8.18306159718957,126.87325681532,9.65488894847528e-12,2.36330754605782e-10,"L2HGDH","Control","Fat Body"
-1.47423776188743,4.41420837718735,126.555408280556,9.93158478290707e-12,2.41911984246398e-10,"l(3)76BDm","Control","Fat Body"
-1.78217300199214,6.56161936140525,125.87476181239,1.05531663598889e-11,2.54661045048418e-10,"oys","Control","Fat Body"
1.72628467002635,3.93818635363933,125.870177854427,1.05574915033154e-11,2.54661045048418e-10,"Sap30","Control","Fat Body"
-4.07464299143987,6.65113141845603,128.829203143318,1.07987990337668e-11,2.59223344921677e-10,"CG4408","Control","Fat Body"
-1.89610135113898,3.74495578055979,125.141455218933,1.12698839857587e-11,2.6923102656363e-10,"mdlc","Control","Fat Body"
-1.28326182950585,6.71893595763878,124.521735055487,1.19163748300937e-11,2.83313236989165e-10,"Cand1","Control","Fat Body"
-1.67995003147048,4.33373399917838,124.025328386498,1.24629456578847e-11,2.94897033209662e-10,"CG5913","Control","Fat Body"
-1.44807785662154,4.41010102797611,123.83817908502,1.26759426808376e-11,2.9851544635584e-10,"CG33332","Control","Fat Body"
-2.5976587661333,4.47514351038682,123.676107866734,1.28635573289986e-11,3.00197928013907e-10,"CG11619","Control","Fat Body"
3.80450652109289,3.40371049404858,123.672116970216,1.28682146643112e-11,3.00197928013907e-10,"niki","Control","Fat Body"
2.39266071957356,6.58129746873443,122.422625033419,1.44193667910661e-11,3.34812306471062e-10,"CG10165","Control","Fat Body"
-1.60785556284461,4.55871633413047,122.037184204041,1.49374928847287e-11,3.45229777414963e-10,"Pdss2","Control","Fat Body"
1.32883844197227,6.7026350898929,121.365720118232,1.58884658782245e-11,3.65508272911562e-10,"CG5577","Control","Fat Body"
2.16144479802091,8.47259742937881,120.954165244702,1.65033223044221e-11,3.77903265118312e-10,"Stat92E","Control","Fat Body"
8.42792232983553,1.73402099161885,195.077930548855,1.69236608042981e-11,3.85750782277785e-10,"spz","Control","Fat Body"
-1.25398467967973,3.98404859634643,120.165894733504,1.7753493658804e-11,4.02817853838343e-10,"DMAP1","Control","Fat Body"
