logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
0.390884201,6.721172169,11.18109514,0.002422318,0.06346677,Pvr,*D. simulans*,Fat Body
-0.436627446,5.312404669,11.17625269,0.002426783,0.06346677,CG17985,*D. simulans*,Fat Body
0.375070656,5.46691742,11.12378058,0.00247575,0.06440838,aux,*D. simulans*,Fat Body
12.36390032,4.515454401,11.77167999,0.002510623,0.064690368,FBgn0184310,*D. simulans*,Fat Body
-0.413436638,6.088017303,11.08500052,0.002512626,0.064690368,Lnpk,*D. simulans*,Fat Body
6.590526804,3.223417302,11.25430214,0.002528816,0.064752328,CecA1.CecA2.CecC.Dsim_CecA1,*D. simulans*,Fat Body
-0.407661228,4.911487526,11.04234775,0.002553874,0.064752328,Nedd8,*D. simulans*,Fat Body
1.281601854,6.902865996,11.12662776,0.002554127,0.064752328,prc,*D. simulans*,Fat Body
-0.477639784,6.971322179,11.00253333,0.00259304,0.065335835,Cyp4d2,*D. simulans*,Fat Body
0.397664148,8.086223519,10.99206961,0.00260344,0.065335835,CCT6,*D. simulans*,Fat Body
-0.479240923,3.023372557,10.89951595,0.002697431,0.067316279,beta4GalNAcTA,*D. simulans*,Fat Body
-0.317862944,8.542674128,10.88783177,0.002709555,0.067316279,Ostgamma,*D. simulans*,Fat Body
-0.903367877,8.841044766,10.88283337,0.002722997,0.067316279,pst,*D. simulans*,Fat Body
-0.482212693,3.500129129,10.85724177,0.002741579,0.067440117,Brms1,*D. simulans*,Fat Body
-0.447306627,9.046659258,10.78053907,0.002823693,0.068737221,Pglym87.Pglym78.Dsim_GD29597,*D. simulans*,Fat Body
4.051334118,1.465217127,10.77559922,0.002829072,0.068737221,CG30098,*D. simulans*,Fat Body
0.53881576,4.284645854,10.76942767,0.002835808,0.068737221,Topors,*D. simulans*,Fat Body
-0.530995076,10.46643366,10.73275347,0.002876196,0.068866048,Mcad,*D. simulans*,Fat Body
0.442898202,7.029838456,10.72962454,0.00287967,0.068866048,mtgo,*D. simulans*,Fat Body
-0.452158306,10.1841063,10.72031382,0.002890036,0.068866048,Calr,*D. simulans*,Fat Body
-0.453838069,4.999638651,10.71447293,0.002896559,0.068866048,Sec22,*D. simulans*,Fat Body
