"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9515","Haemocytes","Response",0.0887499697792377,2.68286148228342,0.0283578702198864,0.868620022631791,0.964219406435753,0.231408960087541,2.68286148228342,0.193507326982854,0.666564446721239,0.913992060424886
"CG9515","Haemocytes","Wasp",-0.12324807606576,2.68286148228342,0.108008203840238,0.747168800106283,0.904178807194458,0.1307943760494,2.68286148228342,0.121653110507062,0.732311624050359,0.81359389571728
"CG9521.CG9519.Dsim_GD15511","Haemocytes","Control",-8.67109400534953,3.46161108314221,14.201079755105,0.00218404970801398,0.0101505393918711,-1.91223095918236,3.46161108314221,0.564849372237316,0.465147988747023,0.647185854404713
"CG9521.CG9519.Dsim_GD15511","Haemocytes","Response",11.55369814831,3.46161108314221,13.1826179150391,0.00285608169759334,0.0271946407126441,-0.332482780799731,3.46161108314221,0.00339047600114859,0.95441586782186,0.995212185485017
"CG9521.CG9519.Dsim_GD15511","Haemocytes","Wasp",2.88260414296051,3.46161108314221,1.50718013259906,0.240439330076724,0.536492163108592,-2.24471373998209,3.46161108314221,1.76381686436974,0.20605378447203,0.329873661028819
"CG9536","Haemocytes","Control",-0.08428436511572,5.13741868357969,0.518886340640562,0.482883381726996,0.623704661755609,0.078329312880126,5.13741868357969,0.447658854896633,0.514066642352283,0.693104210164075
"CG9536","Haemocytes","Response",-0.0667555835977728,5.13741868357969,0.162837882446114,0.692504244401205,0.88470813495189,-0.0981757119590914,5.13741868357969,0.3523372896955,0.562030678587229,0.893509310317971
"CG9536","Haemocytes","Wasp",-0.151039948713493,5.13741868357969,1.66813978261909,0.216918436988475,0.508459266170308,-0.0198463990789654,5.13741868357969,0.0288513439663243,0.867493435154517,0.911196310322596
"CG9547","Haemocytes","Control",-0.391822884804472,6.89746988157349,2.09149439459357,0.1696021626903,0.295557121966083,-0.142207381969035,6.89746988157349,0.276031449966897,0.607335201729995,0.76460457974361
"CG9547","Haemocytes","Response",0.495253833607832,6.89746988157349,1.6676767282815,0.216978885868301,0.530644832363933,0.602197110156994,6.89746988157349,2.46294480739501,0.138336492768589,0.868568266367316
"CG9547","Haemocytes","Wasp",0.103430948803361,6.89746988157349,0.145104165331075,0.708837057806555,0.889418525197331,0.459989728187959,6.89746988157349,2.85734965761998,0.112548489920326,0.215106262438304
